gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
cOR51X2,-0.09280367202429592,0.385130991688891,0.21506021848380194,0.12225654645950602,0.9457182643135121,0.414391532070833,False
OR10G10,0.18507881599589784,0.4167667598075754,-0.2568350509821059,-0.07175623498620806,0.9457182643135121,0.3801069264835358,False
cOR4F25,0.11864235082323168,0.2254844958209185,-0.06391653379280113,0.054725817030430564,0.9457182643135121,0.6468833145882725,False
cOR2Y2,0.11785412468656495,0.41105394779675475,0.11362706397978425,0.2314811886663492,0.9457182643135121,0.38610117643800046,False
cOR2T24,-0.044273509861198546,0.4612694913190416,0.11695338447685096,0.07267987461565241,0.9457182643135121,0.336045268977154,False
cOR2T13,-0.08423388470114734,0.13852370864491856,-0.014830053099695997,-0.09906393780084334,0.9457182643135121,0.8584758897585667,False
OR10F05,0.1642081407471862,0.4844390746218057,-0.3044317105660608,-0.14022356981887457,0.9457182643135121,0.31476083413298495,False
cOR2AI2,-0.2017583659469207,0.3245975412739955,0.000572466916605039,-0.20118589903031567,0.9457182643135121,0.48865477414373776,False
OR10C10,0.14512508480262581,0.4495421694357693,0.09090300736477899,0.2360280921674048,0.9457182643135121,0.34722956289791634,False
cOR1P2,0.05269739776560034,0.5318599888244384,0.07221205563118241,0.12490945339678275,0.9457182643135121,0.2742026798925348,False
cOR1AF1,-0.4989753032028967,0.3705908979550368,0.08543584001618436,-0.4135394631867123,0.9457182643135121,0.43110525154827445,False
cOR11J4,0.3498312367723946,0.008637635307512015,-0.12052068472703792,0.22931055204535664,0.9457182643135121,2.063605136393946,True
OR10C03,0.11969609363769447,0.20188942927293074,-0.15065473306068886,-0.030958639422994382,0.9457182643135121,0.6948864196825065,False
ACSM5,-0.36165861347465345,0.12361405326158367,0.06864781294314684,-0.2930108005315066,0.9457182643135121,0.9079321529768447,False
ACSM4,0.329011203059758,0.11737256794658336,-0.4814923479174732,-0.1524811448577152,0.9457182643135121,0.9304333935613718,False
ACSM3,-0.0988401288867348,0.34167071707633856,-0.06579406346390501,-0.1646341923506398,0.9457182643135121,0.46639224085917735,False
